,brand,price,year,mileage
473,Land,20490,2014,186166
474,BMW,20990,2015,126000
475,Mazda,18990,2019,41000
476,Honda,15490,2017,95694
477,Toyota,10990,2016,97500
478,Porsche,38490,2017,162573
479,SEAT,28990,2020,9870
480,Mercedes,23990,2018,46178
481,SEAT,13990,2018,82477
482,BMW,24490,2017,178060
483,SEAT,12990,2014,80500
484,Renault,23490,2020,13379
485,Audi,17490,2016,113800
486,Fiat,14490,2019,24300
487,Renault,10990,2018,55055
488,Ford,16990,2019,62000
489,Ford,14990,2019,21000
490,Audi,16490,2016,133000
491,Ford,15490,2017,67517
492,Citroen,11990,2016,70000
493,Volkswagen,14990,2015,90083
494,BMW,20490,2018,90680
495,BMW,25490,2016,100192
496,Toyota,19990,2018,49424
497,Peugeot,9990,2016,47658
498,Mini,10490,2013,160500
499,Volkswagen,13990,2013,125000
500,Abarth,13990,2015,43000
501,Toyota,15490,2018,82800
502,Mercedes,21990,2017,128754
503,SEAT,5990,2010,132699
504,Kia,9990,2015,113299
505,Citroen,19990,2019,45000
506,SEAT,14990,2015,122631
507,Volkswagen,15990,2016,151500
508,Volkswagen,34490,2016,83000
509,Mazda,14490,2015,85000
510,Renault,10490,2014,73196
511,Peugeot,13470,2017,59283
512,Audi,17180,2014,130601
513,BMW,19990,2015,150000
514,Jeep,17990,2019,38500
515,Mitsubishi,17990,2018,31100
516,Dacia,17990,2020,26500
517,Fiat,12990,2016,52102
518,Peugeot,20990,2017,64200
519,Citroen,9490,2018,16000
520,Peugeot,17990,2019,68200
521,SEAT,19990,2018,71520
522,Renault,11990,2015,49100
523,Citroen,10990,2018,34000
524,BMW,30990,2018,63166
525,SEAT,24790,2018,62147
526,Mazda,12490,2016,198000
527,Peugeot,19990,2018,114000
528,Peugeot,11490,2017,78000
529,Opel,13490,2017,110000
530,SEAT,19490,2020,32000
531,Volkswagen,23990,2016,87000
532,Nissan,12490,2017,97700
533,Dacia,9490,2016,4840
534,Lexus,20490,2018,91620
535,Peugeot,19990,2020,23000
536,Ford,11990,2017,61901
537,Nissan,16990,2017,99566
538,Volkswagen,16990,2016,21416
539,Citroen,14490,2020,24060
540,Dacia,8490,2015,21050
541,Citroen,11490,2017,117409
542,Toyota,32990,2016,52345
543,Alfa,7990,2014,76586
544,Jaguar,10990,2011,163000
545,Nissan,13990,2019,43339
546,Toyota,13490,2017,79648
547,Renault,8290,2013,102000
548,Hyundai,16990,2018,53507
549,Kia,7990,2014,75830
550,Volkswagen,23990,2020,14722
551,Kia,21990,2018,17228
552,Kia,12990,2018,52127
553,BMW,13990,2015,52407
554,Porsche,22990,2011,169227
555,Ford,10490,2014,93000
556,Peugeot,21790,2021,2054
557,Abarth,15490,2018,51116
558,Renault,12490,2016,102782
559,Ford,15490,2019,6500
560,Alfa,9990,2015,44500
561,SEAT,8990,2015,28500
562,BMW,30490,2018,160816
563,BMW,17990,2016,91467
564,Kia,13490,2018,72263
565,Ford,15990,2019,59500
566,Peugeot,11430,2016,94500
567,Lexus,17990,2018,82167
568,Renault,10520,2015,55000
569,Volkswagen,11990,2015,76490
570,Opel,10990,2016,32200
571,Renault,18990,2017,72000
572,Kia,15490,2017,93232
573,Nissan,10770,2014,147169
574,DS,8790,2015,91700
575,Audi,20970,2016,102000
576,SEAT,18990,2019,51850
577,SEAT,21990,2017,93298
578,BMW,14990,2015,116900
579,Audi,22990,2016,101794
580,Fiat,8990,2018,118548
581,SEAT,13990,2018,44979
582,BMW,23490,2014,168900
583,Toyota,15990,2018,71000
584,Audi,17990,2018,54900
585,Mercedes,15490,2015,120600
586,Ford,8490,2015,51995
587,Jeep,12990,2015,141653
588,SEAT,7490,2012,169999
589,Citroen,14490,2016,98000
590,Dacia,9990,2017,84000
591,Mazda,14990,2015,91930
592,BMW,18990,2017,83000
593,SEAT,11490,2018,94230
594,Subaru,28650,2020,15135
595,Mini,13990,2013,121196
596,Audi,11990,2011,107802
597,Ford,9990,2016,91321
598,Kia,16490,2016,54700
599,Opel,8990,2016,99769
600,Nissan,12290,2017,57819
601,Honda,14990,2014,153286
602,Mini,19990,2019,21129
603,Citroen,7990,2013,114000
604,SEAT,11990,2018,49276
605,BMW,24490,2016,126119
606,Mazda,12990,2013,169800
607,Citroen,10990,2017,100546
608,Volkswagen,26990,2017,39400
609,Mercedes,18490,2017,114000
610,Nissan,12220,2019,44990
611,Renault,8490,2014,97970
612,BMW,14990,2018,97265
613,Mitsubishi,14490,2017,90455
614,Kia,17990,2019,44230
615,Mercedes,49990,2017,63202
616,Nissan,14490,2021,4400
617,Citroen,19990,2019,35050
618,Opel,6990,2011,134000
619,Hyundai,15490,2016,125000
620,Opel,17990,2019,22900
621,Toyota,10990,2015,146500
622,Citroen,7490,2012,133744
623,BMW,25990,2018,99990
624,Abarth,21990,2017,45845
625,SEAT,13490,2018,27392
626,Ford,17990,2018,27000
627,Toyota,13490,2017,57950
628,Abarth,14780,2015,89000
629,Audi,17850,2017,132853
630,BMW,22490,2015,100787
631,Suzuki,16990,2017,87024
632,Mazda,14990,2015,49000
633,Volkswagen,19590,2018,64181
634,Peugeot,16280,2016,112000
635,Renault,16990,2020,17000
636,Mini,19490,2017,48000
637,BMW,15290,2017,77800
638,Porsche,20990,2012,220000
639,Volkswagen,18990,2012,155000
640,Nissan,12990,2014,137000
641,Kia,13790,2018,90760
642,Nissan,17490,2018,37119
643,Nissan,10490,2016,103127
644,Renault,10990,2016,107410
645,SEAT,9990,2016,99869
646,Volkswagen,24990,2018,61220
647,Mercedes,17490,2016,132203
648,Dacia,9490,2017,17300
649,Toyota,11990,2018,98400
650,Opel,15990,2018,39456
651,Mini,13790,2016,40000
652,Peugeot,13990,2018,75515
653,Hyundai,15490,2017,83000
654,BMW,29990,2020,25807
655,Kia,14990,2019,32000
656,SEAT,10290,2017,52000
657,Citroen,6990,2014,160500
